
							JNTUA CSE STUDENTS DETAILS

					(DETAILS OF STUDENTS WHOSE ATTENDANCE IS GREATER THAN 75 PERCENT)


STUDENT NAME					ADMISSION NUMBER				YEAR				ATTENDANCE PERCENTAGE


Lokesh						20001A0501					1					95


Madhu						20001A0502					1					92


Kowsar						20001A0503					1					93


Archana						20001A0504					1					90


prakash						20001A0505					1					92


Geetha						20001A0506					1					80


Harika						20001A0507					1					83


Vinaya						20001A0508					1					80


Mounika						20001A0509					1					84


Siri						20001A0510					1					85


Hema						19001A0501					2					79


Nithya						19001A0502					2					81


Yashesh						19001A0503					2					76


Bhavya						19001A0504					2					84


Venu						19001A0505					2					90


Jaya						18001A0501					3					89


Bhaskar						18001A0502					3					90


Vimala						18001A0503					3					87


Charan						18001A0504					3					96


Mythri						18001A0505					3					92


Rishi						17001A0501					4					98


Samitha						17001A0502					4					95


Keerthi						17001A0503					4					90


Priya						17001A0504					4					77


Krish						17001A0505					4					80
